Upstream Regulators,8_vs_0,72_vs_8,120_vs_72,128_vs_120,144_vs_128,168_vs_144
TGFB1,-5.551,-3.871,-1.67,6.923,-2.885,-5.538
CEBPB,-1.566,-4.043,-6.882,5.406,0.234,6.177
CSF2,-3.084,-4.146,-5.548,5.754,-1.117,3.727
tetradecanoylphorbol acetate,-5.525,-3.795,-0.509,6.403,-2.769,-3.555
VEGF,-4.418,-3.9,-2.041,5,-2.841,2.592
EGF,-5.271,-3.313,1.261,5.804,-2.504,-2.467
AGT,-4.395,-3.45,-1.906,5.805,-2.407,-2.635
MAGI1,N/A,4.354,5.08,-2.324,-3.772,-4.644
PDGF-BB,-4.851,-2.985,1.772,4.491,-3.307,-2.411
PD98059,4.768,4.063,0.788,-5.267,2.225,2.554
aflatoxin B1,N/A,-2.84,-6.192,3.657,-0.174,6.455
torkinib,0.236,3.407,5.695,-1.247,-3.17,-5.522
CDKN2A,-0.561,4.181,5.651,-0.401,-2.944,-5.536
TFEB,N/A,-4.758,-5.459,3.176,1.725,3.893
Eldr,N/A,-3.148,-5.531,3.606,-1.414,5.253
TBX3,-1.912,-3.46,-4.699,4.682,0.351,3.785
l-asparaginase,N/A,3.781,5.469,-3.128,0.756,-5.555
TNF,-6.147,-3.455,-0.52,5.763,-1.764,-0.954
SP1,-3.317,-3.629,-1.382,4.887,-2.892,-2.355
SB203580,4.012,2,0.738,-5.62,3.871,1.981
TBX2,-0.239,-3.693,-4.253,3.357,2.704,3.841
let-7 (includes others),2.225,3.456,3.568,-4.241,-2.091,-2.438
F3,-2.724,-2.602,-2.278,2.385,-3.595,-4.399
F2,-4.678,-4.042,0.222,5.081,-1.182,-2.386
SMAD3,-3.314,-2.262,-0.486,4.625,-4.62,-2.275
eltanexor,N/A,3.317,4.768,-2.975,-2.345,-4.111
NUPR1,-3.441,1.414,5.227,-0.926,-1.987,-4.402
RB1,-1.227,2.753,5.709,-1.906,-2.59,-3.158
lipopolysaccharide,-6.175,-4.612,0.638,4.252,-0.859,-0.792
TNFRSF9,N/A,-4.123,-4.085,2.144,3.317,3.479
CD3E,N/A,-3.533,-4.243,2.985,2.335,4
TEAD1,-2.961,-1.153,3.756,3.959,-2.06,-3.091
bleomycin,-2.419,-3.342,-2.798,3.903,-2.612,-1.805
actinomycin D,3.274,2.168,-1.402,-3.942,2.875,3.121
calcitriol,-1.905,2.895,3.002,-2.144,-2.166,-4.57
TGF beta,-3.654,-1.243,0.873,4.364,-2.469,-3.875
beta-estradiol,-4.99,-2.476,-0.831,4.605,-1.422,-2.093
HGF,-4.109,-3.13,-0.855,4.671,-2.257,1.355
TNFSF11,-3.317,-3.646,-0.629,4.621,-2.683,-1.46
U0126,4.308,2.31,-0.311,-4.512,2.647,2.213
E2F,N/A,-3.272,-4.572,1.768,2.257,4.371
IL1A,-3.626,-3.901,0.4,3.96,-3.17,-1.178
NPM1,-4,-3.086,-0.183,3.922,-1.3,-3.704
RABL6,N/A,-3.303,-4.556,3.16,1.069,4.086
HMG20A,-3.162,-2.557,-1.098,3.674,-3.128,-2.524
8-bromo-cAMP,-1.814,-3.069,-3.946,4.733,-1.609,-0.916
FN1,-3.13,-3.284,-1.916,3.247,-3.121,-1.347
IL1B,-4.774,-2.706,-0.348,4.727,-3.258,0.21
STX18,-0.816,-4.226,-4.533,3.5,-1.886,1.061
IL6,-4.276,-2.955,-0.145,4.202,-2.204,-2.24
STAT3,-4.292,-2.766,-1.205,3.913,-2.005,-1.782
HIF1A,-2.627,-2.53,-2.749,3.993,-2.287,-1.676
FGF2,-2.838,-2.359,-0.614,4.222,-3.952,-1.819
curcumin,3.569,2.963,0.987,-3.982,2.95,1.35
ERK1/2,-2.307,-4.141,-0.362,4.054,-2.244,-2.589
tetrabromobisphenol A,-2.449,-4,-1.225,3.742,-1.897,-2.333
SP600125,3.379,2.099,-0.453,-4.829,2.31,2.555
MAP2K1,-3.817,-3.052,0.628,3.875,-2.272,-1.964
kainic acid,-3.301,-1.862,1.687,3.423,-3.224,-1.724
ERK,-3.491,-2.319,-0.164,4.39,-2.623,-1.994
RB,N/A,3.105,3.429,-2.39,-1.63,-4.355
NFkB (complex),-5.046,-0.945,0.362,4.717,-2.895,-0.832
RELA,-3.228,-2.008,0.372,3.943,-3.554,-1.681
IGF1,-3.482,-1.395,0.536,3.298,-2.733,-3.333
CG,-3.841,0.098,0.446,2.836,-3.72,-3.812
CSF1,-2.99,-2.543,-2.786,2.807,-2.38,-1.212
PTGER2,-0.762,-0.856,-3.855,2.685,-2.449,4.075
PDGF (complex),-2.66,-3.622,1.353,3.816,-1.512,-1.715
F2R,-3.405,-3.091,1.184,3.371,-1.869,-1.731
carbon tetrachloride,-2.691,-2.56,-0.808,3.84,-3.559,-1.188
LY294002,4.657,2.232,1.11,-3.319,1.805,1.507
MRTFB,-3.517,-3.773,-0.551,4.035,-0.479,-2.273
cytokine,-3.748,-3.122,0.709,3.499,-2.436,-1.026
E2F1,-0.195,-2.615,-4.247,0.938,2.628,3.916
KLF6,-3.885,-1.677,-1.291,4.615,-1.823,-1.149
leukotriene D4,-3.394,-1.597,1.973,2.191,-3.099,-2.121
FGFR1,-2.371,-2.245,-1.972,3.76,-2.251,-1.748
CKAP2L,N/A,-1.265,-3.8,3.464,-1.342,4.379
EDN1,-3.297,-3.786,0.206,3.727,-1.517,-1.689
IgE,-4.258,-0.683,0.458,4.014,-2.443,-2.347
GPER1,-2.999,0.618,3.163,1.425,-3.236,-2.752
NRG1,-3.115,-3.634,-0.598,3.564,-2.062,-1.17
IL3,-3.5,-2.465,0.902,2.957,-2.344,-1.958
PCLAF,N/A,-2.391,-4.037,2.605,-1.044,4.034
MPT0B291,N/A,3.271,4.508,-1.994,0.412,-3.808
ERBB2,-1.896,-2.316,-3.03,4.229,-0.001,2.515
poly rI:rC-RNA,-4.786,-2.096,1.384,3.742,-0.084,1.873
RHOJ,N/A,2.646,3.162,-2.236,-2.646,-3.162
dexamethasone,-1.843,-0.793,-0.813,2.943,-3.515,-3.844
CCND1,N/A,-3.153,-2.622,3.849,1.245,2.874
PEAR1,N/A,4.082,4.352,-3.606,-0.378,-1.265
4-hydroxytamoxifen,-2.663,-0.719,3.341,2.57,-2.873,-1.411
D-glucose,-3.244,-1.069,-0.816,3.293,-2.912,-2.24
PKC,-3.315,-1.349,-0.234,3.383,-2.953,-2.326
Ap1,-3.655,-3.984,-0.551,4.135,-1.186,N/A
norepinephrine,-2.776,-0.961,2.209,3.027,-2.706,-1.826
miR-124-3p (and other miRNAs w/seed AAGGCAC),2.254,2.508,1.399,-3.615,0.455,3.206
FKBP10,2.236,2.673,1.414,-3.317,1.897,1.897
dimethyl n-oxalyl-glycine,-1.911,-1.325,0.894,3.43,-2.729,-3.134
NFAT (family),-3.255,-1.561,2.114,3.101,-0.332,-3.043
estrogen,-2.091,-2.287,-3.176,4.333,-0.246,1.25
VEGFA,-3.733,-2.006,-1.353,3.41,-2.394,-0.486
Wy 40905,-2.414,-0.879,3.329,2.254,-2.228,-2.191
AREG,-2.192,-2.119,-1.633,3.637,-1.625,2.061
H89,2.211,2.664,0.812,-3.616,2.183,1.708
TOX,N/A,-2.823,-3.683,3.172,1.249,2.257
TCR (complex),-3.36,-2.578,-0.226,3.672,-2.537,-0.772
MAPK1,-3.013,0.191,-0.643,3.465,-3.649,-2.174
FOXM1,-0.099,-2.923,-4.022,2.616,-0.947,2.496
SB-431542,2.376,2.503,1.003,-3.759,1.85,1.599
PIWIL4,-3.606,0.756,1.633,3.464,-1.177,-2.449
SPP1,-2.465,-3.308,-1.221,3.648,-1.707,-0.726
THZ1,0.285,3.018,4.906,-3.219,-1.17,-0.473
BMP6,-2.18,-2.203,2.01,2.403,-1.464,-2.804
RRAS2,-3.317,-3.307,-1.571,3.5,-0.894,-0.471
MRTFA,-3.211,-3.806,-1.533,3.755,0.461,-0.284
NGF,-3.16,-2.121,2.044,3.364,-1.865,-0.49
alpha catenin,2.306,1.514,2.87,-2.935,2.021,1.383
PTTG1,-2.314,N/A,3.078,0.98,-2.692,-3.951
RUNX3,2.945,1.701,0.761,-3.209,1.852,2.507
STEAP3,2.63,1.926,-1.122,-3.208,1.554,2.523
triptolide,2.042,2.305,1.487,-2.533,2.858,1.726
COL18A1,1.967,3.323,1.416,-3.382,0.777,2.067
mir-1 (includes others),1.387,2.12,2.08,-2.739,1.499,3.071
IL13,-2.419,-2.071,-2.07,3.228,-1.301,-1.792
E. coli B5 lipopolysaccharide,-2.756,-2.422,-0.45,3.171,-3.062,-1.005
miR-155-5p (miRNAs w/seed UAAUGCU),2.753,2.387,2.747,-3.614,0.861,0.497
EPAS1,-3.078,-1.928,0.329,4.287,-1.233,-1.997
fulvestrant,1.967,1.195,3.549,-3.645,0.53,-1.933
CD3 (complex),-3.174,-2.933,1.151,3.595,0.678,-1.278
PTH,-2.261,-1.295,-1.608,3.009,-2.89,-1.746
medroxyprogesterone acetate,-2.129,-1.725,-2.233,3.092,-1.591,-2.038
NORAD,-2.449,-1.914,0.273,3.208,-1.941,-3.023
bucladesine,-2.671,-3.339,-0.415,2.532,-1.076,-2.749
bicuculline,-2.772,N/A,3.291,2.4,-2.54,-1.723
5-hydroxytryptamine,-2.605,-2.281,1.051,1.694,-2.479,-2.601
thioacetamide,-1.969,-3.124,-2.435,3.256,-1.521,-0.339
TCF7L2,-2.95,-1.739,-0.554,2.995,-2.086,-2.296
PPARGC1A,3.101,1.668,2.705,-2.899,1.188,-1.03
5-azacytidine,-3.009,-0.102,2.705,2.614,-1.612,-2.502
hydroxyurea,N/A,-3.031,-1.464,2.331,2.647,3.042
p38 MAPK,-2.135,-1.683,-0.117,4.354,-3.358,-0.79
phytohemagglutinin,-2.63,-2.121,-1.68,3.434,1.978,-0.577
E2F3,0,-2.974,-2.152,1.547,2.137,3.593
cigarette smoke,-2.634,-3.519,0.988,3.654,-1.035,-0.569
JNK,-2.988,-3.119,-0.016,3.54,-2.486,0.226
F7,-2.124,-2.125,2.905,2.096,-0.514,-2.588
Salmonella enterica serotype abortus equi lipopolysaccharide,-4.214,-2.004,1.293,2.649,-0.605,-1.547
IL4,-2.765,-0.711,-2.17,3.409,-1.201,-2.048
TGFB3,-1.607,-2.336,0.397,2.725,-2,-3.232
prostaglandin E2,-2.334,-3.042,0.499,3.575,-0.69,-2.123
MYD88,-3.433,-2.169,0.35,3.744,-1.001,-1.558
MAPK,-2.228,-2.618,N/A,3.385,-2.353,-1.643
asciminib,N/A,2.247,2.665,-1.09,-2.796,-3.422
miR-16-5p (and other miRNAs w/seed AGCAGCA),1.746,2.585,0.808,-4.157,-2.485,0.432
IL5,-3.788,-2.348,-0.287,4.111,-1.669,N/A
MEF2D,-2.157,0.524,2.749,1.294,-3.624,-1.843
EWSR1-FLI1,2.126,2.178,-0.201,-3.155,2.016,2.498
KLF2,3.084,2.414,-0.15,-3.389,1.822,1.31
SORL1,-1.633,-2.143,-3.81,3,-1.342,0.229
AKT,-2.693,-1.534,-0.2,4.275,-2.148,-1.292
lysophosphatidic acid,-2.966,-2.198,-0.097,3.134,-1.777,-1.935
zeaxanthin dipalmitate,2.887,0.378,-1.697,-2.887,1.886,2.324
SRF,-2.777,-1.654,0.453,4.428,-0.906,-1.816
JUN,-3.142,-2.716,-0.585,3.502,-0.544,-1.539
TREM1,-3.508,-1.064,-0.142,3.497,-2.091,-1.726
CREB1,-2.863,-1.264,0.959,3.543,-1.852,-1.521
EP400,N/A,-1.706,-3.428,2.138,1.219,3.507
platelet activating factor,-2.03,-2.145,-1.843,2.208,-1.863,-1.909
RAS,-2.156,-2.349,0.845,3.021,-2.019,-1.591
LIN9,N/A,-1.982,-3.434,2.236,-1,3.293
RAF1,-2.38,-2.533,-1.328,3.464,-1.64,-0.584
silibinin,2.077,2.489,1.309,-3.081,1.603,1.365
YAP1,-3.016,-2.75,-0.214,4.987,-0.543,0.407
phorbol esters,-2.595,-2.4,N/A,2.952,-2.01,-1.949
insulin,-3.225,-1.741,-0.975,3.209,-2.672,-0.077
EGFR,-1.729,-2.281,-1.34,3.39,-2.588,-0.569
CDKN1A,-0.089,1.497,4.978,-1.399,-0.662,-3.271
uric acid,-2.375,-1.081,2.097,1.425,-1.508,-3.403
CHROMR,0.447,0.683,2.095,-0.632,4.429,3.576
ELAVL1,-0.584,-4.207,-0.564,2.613,1.181,2.673
MAP3K1,-2.575,-3.136,-0.063,3.233,-1.734,-1.079
IFNB1,-1.159,2.264,3.492,-0.904,3.274,0.632
RBL1,N/A,1.77,2.625,-1.64,-1.763,-3.897
TNF (family),-3.391,N/A,0.378,3.446,-1.915,-2.555
bisindolylmaleimide I,2.029,1.177,-1.158,-3.264,3.057,0.987
GNAQ,-2.795,-1.458,2.67,3.053,0.263,-1.431
EGR1,-2.265,-1.747,1.061,2.928,-2.147,-1.516
RBL2,0.914,1.51,2.298,-2.715,1.214,-2.997
KAT2A,-1.934,-0.65,-2.846,2.052,1.02,3.136
EPHB1,-2.216,-0.849,2.596,1.982,-1.987,-1.982
TGFA,-2.276,-1.505,1.166,3.075,-2.243,-1.33
reactive oxygen species,-2.27,-2.169,0.867,2.396,-2.916,-0.916
wortmannin,2.537,2.586,0.493,-3.423,1.962,0.479
CREB,-2.329,-0.659,0.615,3.069,-1.359,-3.389
ceruletide,-1.947,-1.383,-0.442,3.101,-1.627,-2.917
IFNG,-4.115,-1.709,1.753,2.645,0.824,0.349
RNF5,2.433,1.723,0.462,-2.975,0.426,3.357
TEAD3,-2.236,-1.5,0.688,3.317,-1.508,-2.111
CD44,-1.901,-2.232,-2.129,3.121,-1.952,0.01
KCNJ2,N/A,2.82,3.495,1.492,-0.471,-3.024
NADPH oxidase,-2.415,N/A,1.941,2.608,-2.607,-1.706
2-amino-5-phosphonovaleric acid,3.203,0.634,-0.827,-2.413,1.814,2.374
isoproterenol,-3.031,-2.547,1.092,3.833,-0.761,N/A
EHMT1,-2,-1.941,0.87,2.333,-1.667,-2.449
TLR2,-2.914,-2.557,0.33,2.586,-1.05,-1.82
"1-(ethylthio)-4-(2-phenylethyl)-4H-spiro[benzo[h][1,2,4]triazolo[4,3-a]quinazoline-6,1'-cyclohexan]-5(7H)-one",1.342,N/A,-2.138,-3,2.828,1.89
IL17A,-2.238,-1.747,-0.184,2.27,-3.862,-0.896
NGF,-0.902,0.898,2.947,1.866,-3.099,-1.483
PRKCE,-2.848,-1.266,1.1,2.733,-1.75,-1.468
lysophosphatidylcholine,-1.471,-1.147,1.703,0.897,-2.284,-3.658
ESRRA,N/A,1.878,1.022,2.073,-1.354,-4.808
STAT4,-3.422,1.108,1.358,3.261,-0.208,-1.767
ETV3,N/A,N/A,-4.6,N/A,-3.873,-2.646
MKNK1,-1.98,-1.764,-1.372,3.434,-0.851,-1.707
calcimycin,-2.551,-1.8,N/A,3.335,-0.667,-2.735
CD40LG,-3.097,-1.559,-1.381,3.177,-1.205,-0.664
aldosterone,-1.535,-1.342,-1.391,1.672,-2.625,-2.473
NCOA3,-2.801,-2.251,-1.19,3.692,-0.896,-0.197
TWIST1,-1.8,-2.546,-1.664,2.857,-0.227,-1.904
diethylstilbestrol,-1.686,-0.285,-2.592,2.163,-3.17,1.099
cyclic AMP,-2.679,-1.067,0.499,2.52,-1.95,-2.279
TIMP3,2.425,0.718,-1.508,-1.744,2.975,1.599
BMS-690514,N/A,3.207,0.258,-3,-2.828,-1.667
TNF receptor,-2.596,-2.36,N/A,2.599,-1.406,-1.982
cholecalciferol,-1.521,1.556,1.367,1.35,-3.065,-2.057
Ca2+,-1.732,-1.468,2.125,2.342,-1.624,-1.617
CXCL8,-2.404,-2.063,-2.043,1.955,-2.439,N/A
herbimycin,2.583,2.369,-0.757,-2.349,1.302,1.544
carrageenan,-2.554,-2.213,1.866,2.144,-1.905,-0.205
ZFP36,1.496,3.101,1.281,-3.409,0.846,-0.745
REL,-2.2,-2.267,-0.143,2.254,2.079,1.902
SSTR2,1.929,3.006,0.798,-2.825,0.967,1.311
N6AMT1,N/A,-0.531,-4.657,1.451,0.596,3.588
MET,-1.829,-3.81,-0.578,3.483,-0.642,0.456
sphingosine-1-phosphate,-1.629,-1.721,1.062,3.086,-1.983,-1.312
cephaloridine,N/A,-1.319,-3.13,2.333,1.769,2.24
ESR1,-0.142,-2.993,-2.446,1.987,0.854,2.364
IL2,-2.518,-2.256,-2.141,3.339,0.086,0.432
SCAP,N/A,3.023,-1.576,-0.156,-3.801,-2.212
TEAD,-1.96,-1.292,1.946,2.401,-0.933,-2.229
F2RL1,-2.567,-2.181,0.917,2.579,-1.356,-1.154
DYRK1A,N/A,3.129,1.642,-2.628,-1.877,-1.474
OTUB1,-2.4,-3.054,0.366,2.572,-1.673,-0.684
vidutolimod,-2,N/A,3.363,N/A,2.668,2.714
MAPK7,-1.408,0.481,0.697,1.928,-3.464,-2.759
simvastatin,2.092,1.651,1.553,-2.929,1.466,1
IFITM3,2.236,2.324,0.426,-2.121,1.897,1.667
interferon alpha,-2.108,-0.593,1.409,1.241,3.639,1.68
diphenyleneiodonium,2.412,1.43,N/A,-2.959,3.094,0.757
S1PR2,-1.96,-1.765,0.855,2.391,-2.174,-1.504
IL15,-3.704,-2.496,-0.294,2.883,0.638,-0.628
FOXC2,-1.664,-0.858,-1.225,1.849,-3.07,-1.943
miR-30c-5p (and other miRNAs w/seed GUAAACA),1.478,2.559,0.932,-2.881,-0.205,2.547
hydrogen peroxide,-2.266,0.6,1.525,1.839,-2.484,-1.881
HDAC6,-2.213,-2.003,-0.823,1.698,-1.982,-1.876
FOS,-1.699,-2.743,-1.267,3.613,-0.249,-0.98
STAT5A,-2.129,0.027,1.18,2.645,-1.056,-3.495
miR-450a-5p (and other miRNAs w/seed UUUGCGA),2.236,2.111,1.5,-2.121,2.236,0.302
PRKAA1,1.707,1.917,2.255,-2.917,0.665,1.041
SPARC,-0.625,1.321,3.061,-0.535,-1.352,-3.539
cicaprost,-1.982,-2.813,-2.111,2.63,-0.896,N/A
JQ1,0.694,2.207,2.105,-2.055,-1.11,-2.256
BMP2,-1.182,-1.093,-0.014,3.386,-2.018,-2.73
MFSD2A,1,-1.66,1.023,-1,3.124,2.611
LLGL2,-2,-1.414,-1.414,2.333,-2.236,-1
IKBKB,-3.041,-0.964,0.257,2.476,-1.59,-2.067
aspirin,2.443,2.175,2.01,-2.021,1.517,-0.229
RHOA,-2.857,-2.096,-0.138,3.396,-0.917,-0.972
IFN beta,-1.826,N/A,2.741,1.5,2.926,1.37
ADAM17,-1.067,-0.894,-2.471,3.148,-1.387,-1.387
Pam3-Cys-Ser-Lys4,-2.345,-2.045,0.55,3.211,-1.588,-0.6
USP36,-1.949,-1.99,1.638,2.176,-1.949,-0.626
palmitic acid,-2.885,-0.973,0.173,2.691,-1.3,-2.304
rosiglitazone,1.53,1.353,3.585,-1.587,0.665,-1.605
TRA2B,-1.183,-2.267,1.155,2.602,-1.691,-1.416
PSMB11,1.934,3.147,0.493,-3.257,0.924,0.555
INHBA,-1.493,-1.842,0.27,2.752,-1.615,-2.331
DDB1,-2.538,0,1.474,2.449,-2.449,-1.387
doxorubicin,-2.063,-1.695,-0.347,2.847,-1.453,-1.871
SMARCB1,-0.488,1.996,1.69,-1.476,-1.888,-2.721
TEAD2,-2.236,-1.604,0.243,3,-1.508,-1.667
dexmedetomidine,1.4,3,1.545,-2.795,0.469,-1.043
RIPK2,N/A,1.856,2.157,0.617,2.753,2.842
P2RY2,-2.366,-1.864,N/A,2.569,-1.216,-2.19
decitabine,-3.104,-0.662,-0.653,1.902,-2.933,-0.94
G007-LK,1.961,2.172,-2.037,-1.635,0.178,2.2
deferoxamine,-2.214,-1.012,0.378,2.838,-2.313,-1.419
SIX1,0.239,-3.315,-4.653,1.134,-0.277,0.555
MDM2,0.324,-0.969,-2.982,1.634,2.417,1.84
"10E,12Z-octadecadienoic acid",N/A,-2.883,-2.722,1.553,0.479,2.494
MITF,0,-1.089,-3.12,2.06,-1.023,2.832
RBPJ,1.348,2.636,-1.15,-1.333,1.386,2.26
NFKB1,-3.132,-0.634,-0.339,3.064,-2.412,-0.527
E2F6,N/A,2.514,2.034,-1.387,-1.633,-2.538
PI3K (complex),-2.734,-1.125,-0.956,2.899,-1.733,-0.65
cantharidin,-3.051,-2.229,1.584,1.522,-1.094,0.612
"9,10-dimethyl-1,2-benzanthracene",-1.798,N/A,2.175,2.791,-1.816,-1.493
WNT3A,-2.293,-0.701,0.155,1.922,-2.405,-2.59
PLAU,-0.651,-2.706,-2.311,1.224,1.594,1.568
WWTR1,-2.608,-2.369,0.729,3.206,-0.596,-0.544
TEAD4,-2.804,-1.871,-0.181,2.915,-1.067,-1.173
ionomycin,-3.028,N/A,-0.969,2.364,-0.785,-2.834
ETS1,-0.538,-2.267,-0.934,2.661,-1.323,-2.238
SFRP1,2.236,-0.624,0.046,-2.749,2.18,2.121
Collagen type I (complex),-1.982,-2.575,-0.871,2.219,-1.011,-1.289
LAMA4,N/A,3.027,2.686,-2.813,N/A,1.414
ANGPT2,-2.9,-2.05,-0.595,2.327,-1.889,0.176
GLI3,-2.058,0.499,1.999,1.342,-1.818,-2.206
concanavalin a,-1.504,-1.845,-1.106,2.634,-1.842,-0.989
MEF2C,-1.664,1.059,4.565,0.807,-1.821,N/A
miR-17-5p (and other miRNAs w/seed AAAGUGC),0.932,2.926,2.332,-3.285,0.192,0.231
Bay 11-7082,2.747,2.276,N/A,-2.905,N/A,1.964
ARVib-7,N/A,N/A,3.13,-3.162,1.414,-2.183
