OriginalID,Condition,n_MT,n_EdU,n_MT_EdU,n_Nuclei,Perc_CCR,Diff Index,AVG CCR,Perc_Proliferating_outside_MT,AVG Diff. Index,AVG Dividing,,SD CCR,SEM CCR
7d_A1C_old,0.25%FCS,52,26,0,312,0,16.667,1.35625,10,15.27875,10.615,,1.978772617,0.699601768
7d_A1C_old,0.25%FCS,28,30,1,265,3.57,10.566,,12.24,,,,,
7d_A1C_old,0.25%FCS,40,32,0,324,0,12.346,,11.27,,,,,
7d_A1C_old,0.25%FCS,62,18,3,306,4.84,20.261,,6.15,,,,,
7d_A1C_old,0.25%FCS,41,28,1,307,2.44,13.355,,10.15,,,,,
7d_A1C_old,0.25%FCS,50,25,0,333,0,15.015,,8.83,,,,,
7d_A1C_old,0.25%FCS,35,45,0,307,0,11.401,,16.54,,,,,
7d_A1C_old,0.25%FCS,57,19,0,252,0,22.619,,9.74,,,,,
7d_A1_old,0.25%FCS + 1%O2,2,28,0,164,0,1.22,1.015,17.28,15.021125,11.98875,,1.468624235,0.519237078
7d_A1_old,0.25%FCS + 1%O2,53,30,0,331,0,16.012,,10.79,,,,,
7d_A1_old,0.25%FCS + 1%O2,74,26,0,315,0,23.492,,10.79,,,,,
7d_A1_old,0.25%FCS + 1%O2,34,20,1,252,2.94,13.492,,8.72,,,,,
7d_A1_old,0.25%FCS + 1%O2,59,30,2,362,3.39,16.298,,9.24,,,,,
7d_A1_old,0.25%FCS + 1%O2,42,31,0,295,0,14.237,,12.25,,,,,
7d_A1_old,0.25%FCS + 1%O2,53,34,0,320,0,16.563,,12.73,,,,,
7d_A1_old,0.25%FCS + 1%O2,56,35,1,297,1.79,18.855,,14.11,,,,,
7d_A2C_old,10%FCS,18,107,10,204,55.56,8.824,20.89375,52.15,13.875875,47.7075,,17.47996726,6.180101692
7d_A2C_old,10%FCS,61,55,7,182,11.48,13.118,,39.67,,,,,
7d_A2C_old,10%FCS,57,143,15,331,26.32,17.221,,46.72,,,,,
7d_A2C_old,10%FCS,47,162,5,335,10.64,14.03,,54.51,,,,,
7d_A2C_old,10%FCS,52,162,3,385,5.77,13.506,,47.75,,,,,
7d_A2C_old,10%FCS,37,87,12,196,32.43,18.878,,47.17,,,,,
7d_A2C_old,10%FCS,45,139,1,355,2.22,12.676,,44.52,,,,,
7d_A2C_old,10%FCS,44,158,10,345,22.73,12.754,,49.17,,,,,
7d_A2_old,10%FCS + 1%O2,55,190,0,428,0,12.85,2.93,50.94,17.574625,34.74,,3.250859227,1.149352302
7d_A2_old,10%FCS + 1%O2,73,138,0,465,0,15.699,,35.2,,,,,
7d_A2_old,10%FCS + 1%O2,73,118,2,445,2.74,16.404,,31.18,,,,,
7d_A2_old,10%FCS + 1%O2,111,145,4,518,3.6,21.429,,34.64,,,,,
7d_A2_old,10%FCS + 1%O2,109,134,3,494,2.75,22.065,,34.03,,,,,
7d_A2_old,10%FCS + 1%O2,58,0,0,349,0,16.619,,0,,,,,
7d_A2_old,10%FCS + 1%O2,63,128,3,352,4.76,17.898,,43.25,,,,,
7d_A2_old,10%FCS + 1%O2,73,173,7,414,9.59,17.633,,48.68,,,,,
