OriginalID,n_MT,n_EdU,n_MT_EdU,n_Nuclei,Perc_CCR,Diff Index,AVG CCR,Perc_Proliferating,AVG Diff. Index,AVG Dividing,,SD CCR,SEM CCR
Plate4_D3 10%FCS + DMSO,55,100,13,320,23.64,17.188,23.428,30.57,17.3586,30.892,,9.66309319,4.321466649
Plate4_D4 10%FCS + DMSO,53,102,6,304,11.32,17.434,,38.25,,,,,
Plate4_D2 10%FCS + DMSO,47,88,18,262,38.3,17.939,,30.23,,,,,
Plate4_D6 10%FCS + DMSO,44,61,10,249,22.73,17.671,,24.88,,,,,
Plate4_D5 10%FCS + DMSO,52,91,11,314,21.15,16.561,,30.53,,,,,
Plate4_E5 10%FCS,60,88,12,368,20,16.304,23.92,24.68,18.6636,28.05,,9.535897965,3.371449058
Plate4_E2 10%FCS,37,96,11,299,29.73,12.375,,32.44,,,,,
Plate4_E3 10%FCS,92,84,17,405,18.48,22.716,,21.41,,,,,
Plate4_E6 10%FCS,56,86,21,263,37.5,21.293,,31.4,,,,,
Plate4_E4 10%FCS,72,94,10,349,13.89,20.63,,30.32,,,,,
Plate4_B2 10%FCS + 5uM LY,20,57,7,166,35,12.048,30.484,34.25,19.487,27.886,,10.39903986,3.676615801
Plate4_B4 10%FCS + 5uM LY,50,78,15,288,30,17.361,,26.47,,,,,
Plate4_B3 10%FCS + 5uM LY,48,61,11,261,22.92,18.391,,23.47,,,,,
Plate4_B6 10%FCS + 5uM LY,55,63,25,194,45.45,28.351,,27.34,,,,,
Plate4_B5 10%FCS + 5uM LY,63,77,12,296,19.05,21.284,,27.9,,,,,
Plate4_C3 10%FCS + 10uM LY,62,101,24,342,38.71,18.129,36.068,27.5,15.0198,30.316,,4.391408658,1.55259742
Plate4_C2 10%FCS + 10uM LY,20,81,7,201,35,9.95,,40.88,,,,,
Plate4_C6 10%FCS + 10uM LY,49,107,20,306,40.82,16.013,,33.85,,,,,
Plate4_C4 10%FCS + 10uM LY,52,77,19,344,36.54,15.116,,19.86,,,,,
Plate4_C5 10%FCS + 10uM LY,41,76,12,258,29.27,15.891,,29.49,,,,,
Plate5_C9 0.25%FCS,26,22,1,436,3.85,5.963,2.498333333,5.12,8.02,3.866666667,,2.978324473,1.052996716
Plate5_D8 0.25%FCS,23,11,0,365,0,6.301,,3.22,,,,,
Plate5_C8 0.25%FCS,45,13,0,421,0,10.689,,3.46,,,,,
Plate5_C10 0.25%FCS,40,12,0,414,0,9.662,,3.21,,,,,
Plate5_D9 0.25%FCS,25,16,1,303,4,8.251,,5.4,,,,,
Plate5_D10 0.25%FCS,28,12,2,386,7.14,7.254,,2.79,,,,,
