OriginalID,Condition,n_MT,n_Nuclei,Diff Index,AVG Diff. Index
1-Feb,D3_DMSO,1,142,0.704,0.5181
2-Feb,D3_DMSO,0,171,0,
1-Mar,D3_DMSO,1,131,0.763,
2-Mar,D3_DMSO,0,82,0,
1-Apr,D3_DMSO,2,141,1.418,
2-Apr,D3_DMSO,0,134,0,
1-May,D3_DMSO,2,120,1.667,
2-May,D3_DMSO,1,159,0.629,
1-Jun,D3_DMSO,0,74,0,
2-Jun,D3_DMSO,0,70,0,
1-Jan,D3_5uM_LY,4,158,2.532,1.4157
2-Jan,D3_5uM_LY,2,165,1.212,
1-Feb,D3_5uM_LY,4,159,2.516,
2-Feb,D3_5uM_LY,2,154,1.299,
1-Mar,D3_5uM_LY,3,151,1.987,
2-Mar,D3_5uM_LY,0,127,0,
1-Apr,D3_5uM_LY,3,205,1.463,
2-Apr,D3_5uM_LY,3,167,1.796,
1-Jun,D3_5uM_LY,1,134,0.746,
2-Jun,D3_5uM_LY,1,165,0.606,
1-Feb,D3_10uM_LY,4,134,2.985,2.6135
2-Feb,D3_10uM_LY,3,128,2.344,
1-Mar,D3_10uM_LY,1,117,0.855,
2-Mar,D3_10uM_LY,3,129,2.326,
1-Apr,D3_10uM_LY,5,106,4.717,
1-May,D3_10uM_LY,4,163,2.454,
1-Jan,D5_DMSO,36,399,9.023,13.41266667
2-Jan,D5_DMSO,66,484,13.636,
1-Feb,D5_DMSO,65,432,15.046,
2-Feb,D5_DMSO,61,510,11.961,
1-Mar,D5_DMSO,96,463,20.734,
2-Mar,D5_DMSO,53,526,10.076,
1-Jan,D5_5uM_LY,147,455,32.308,34.02883333
2-Jan,D5_5uM_LY,195,586,33.276,
1-Feb,D5_5uM_LY,244,599,40.735,
2-Feb,D5_5uM_LY,258,644,40.062,
1-Mar,D5_5uM_LY,169,609,27.75,
2-Mar,D5_5uM_LY,213,709,30.042,
1-Feb,D5_10uM_LY,209,676,30.917,45.02566667
2-Feb,D5_10uM_LY,285,689,41.364,
1-Mar,D5_10uM_LY,284,761,37.319,
2-Mar,D5_10uM_LY,278,651,42.704,
1-Apr,D5_10uM_LY,461,684,67.398,
2-Apr,D5_10uM_LY,279,553,50.452,
